JWT 0; JWT 1; JWT 2; JWT 3; JWT 4; PASETO 0; PASETO 1; PASETO 2; PASETO 3; PASETO 4; Fernet 0; Fernet 1; Fernet 2; Fernet 3; Fernet 4; Branca 0; Branca 1; Branca 2; Branca 3; Branca 4; Macaroon 0; Macaroon 1; Macaroon 2; Macaroon 3; Macaroon 4; Opaque 0; Opaque 1; Opaque 2; Opaque 3; Opaque 4; NONE 0; NONE 1; NONE 2; NONE 3; NONE 4; 
62,740029;58,915975;66,218134;55,264265;60,839954;31,612408;31,19086;30,842807;32,018948;30,383605;25,087604;27,658245;30,3535;28,289514;24,405024;30,317873;28,396735;32,253237;33,401137;32,361518;33,259081;34,187368;35,873779;33,281007;34,929656;-1;-1;-1;-1;211,193385;24,433322;23,101069;18,662538;25,663299;20,099588; 
35,708447;34,326282;25,543782;37,947925;30,368042;33,576872;35,688983;36,517861;29,504514;36,117471;22,63889;22,664193;20,842195;21,650177;25,22013;30,526685;30,775138;29,87436;27,662603;30,786889;33,826379;32,534774;28,911135;32,72971;28,951128;-1;-1;-1;-1;195,924669;20,444029;20,885314;23,633929;19,050887;22,092055; 
28,682566;26,035173;28,063369;26,212041;28,536614;30,206317;44,913706;33,794829;33,402463;25,84932;31,009434;27,733991;28,545437;31,35909;23,79505;37,5776;36,451642;40,374779;43,357064;40,090451;37,382848;37,010229;39,452345;38,07196;38,387201;-1;-1;-1;-1;191,5887;26,083798;21,516402;20,549219;28,543145;22,437783; 
24,482356;24,941478;24,089825;25,844964;23,233124;26,753156;26,992655;26,579693;26,858645;31,680457;23,366458;24,383798;23,94476;24,025977;28,349378;32,199874;33,427754;29,357382;25,681625;28,996622;31,935592;30,997375;31,09564;31,699522;30,973454;-1;-1;-1;-1;189,189199;15,722745;20,727587;21,411842;17,477571;21,980211; 
21,121629;23,690455;23,144461;23,360892;22,23979;26,846352;32,278355;28,524695;30,591838;26,588868;21,276965;20,847808;21,541794;21,661408;19,894511;25,322713;26,179665;24,430507;26,817716;25,945518;29,689742;29,900817;30,743108;29,387871;30,720625;-1;-1;-1;-1;194,667924;15,367753;15,783527;16,165355;19,174602;16,24131; 
22,670319;21,896588;18,7795;24,017082;19,420126;30,228621;26,415786;28,761751;27,121139;30,915915;21,780611;23,983474;21,414438;21,182398;22,518788;29,526881;28,762446;30,452244;28,467736;28,79793;33,612309;33,743186;32,882668;34,165606;32,42061;-1;-1;-1;-1;193,396716;17,391627;18,437856;17,164161;17,017586;18,242224; 
17,140402;19,284374;16,600554;18,428575;16,997106;27,092039;27,341359;26,735008;25,808564;27,108795;18,622316;18,024233;18,203596;18,140375;19,439277;24,440403;24,790735;23,978518;23,466371;23,690303;29,669499;29,377954;29,255449;29,254846;29,850856;-1;-1;-1;-1;204,662921;14,458181;15,381833;17,364416;15,88708;15,926356; 
19,272706;16,200157;20,282301;17,954998;19,845856;27,842176;26,566179;26,242342;27,069456;27,758456;19,164916;19,399006;19,238484;19,018051;18,409933;29,274552;29,449712;29,042665;28,852535;29,150595;28,14116;29,140817;29,10576;29,107365;29,121327;-1;-1;-1;-1;207,79947;15,898334;16,687872;14,918913;15,08262;14,71156; 
18,266044;19,717447;20,240674;18,371934;17,70248;25,877382;28,078886;25,894429;25,948956;25,837731;18,761656;19,420393;19,294169;19,989642;18,565006;22,795601;22,107775;22,1552;22,797029;22,544501;26,705594;26,733845;28,770177;26,77137;28,938854;-1;-1;-1;-1;193,016312;18,367754;13,677727;15,191313;17,598383;15,195252; 
22,747473;21,910674;20,79874;21,118992;24,428085;27,072193;32,310021;28,270318;28,791517;28,148627;20,996487;21,548514;20,670617;21,916263;21,846605;23,221078;24,6124;23,238258;23,353026;23,18277;30,70545;30,478767;28,439333;30,407527;29,382148;-1;-1;-1;-1;197,315636;16,862497;17,491394;18,145876;14,46894;18,282186; 
17,494504;20,810072;15,775267;20,86503;16,043425;32,492018;28,112785;31,873796;31,924302;29,596223;24,22976;24,04365;24,164849;23,064973;21,703131;22,878038;22,956;23,660561;23,301159;23,718461;30,373004;30,00794;30,809623;30,009909;30,670464;-1;-1;-1;-1;206,760907;17,401342;18,630891;14,629522;16,658088;14,025781; 
16,38348;15,66721;20,956487;15,877483;19,166984;27,57108;27,242046;25,966685;26,89694;27,717156;19,488623;17,795544;19,060704;20,689732;22,43174;28,987011;29,124911;28,983358;29,24822;29,173293;30,789741;31,659278;30,507531;30,861074;30,634145;-1;-1;-1;-1;201,197329;17,162234;16,660014;17,750483;16,879109;18,06609; 
22,387943;21,45937;20,901022;21,639132;21,719006;26,269369;24,112033;26,242806;25,554873;27,42373;18,531307;20,117245;19,231535;17,454864;19,714728;24,963543;24,89444;24,513589;24,01139;24,268348;28,699114;27,550554;27,617497;28,046524;27,683802;-1;-1;-1;-1;211,104754;14,729458;16,280141;17,464419;14,928867;17,165845; 
19,277276;20,685957;19,018267;19,750232;18,288256;23,081309;22,251269;22,790673;22,688718;22,902417;18,392279;17,746513;17,897198;18,300279;17,402809;23,116837;23,149381;23,1246;23,294323;22,776241;24,972568;24,898104;24,613935;25,11394;24,344615;-1;-1;-1;-1;232,49069;16,338663;16,033292;14,83034;15,59722;14,614025; 
19,610021;18,993284;17,771398;18,547794;18,416645;24,327835;28,083013;25,047932;24,742343;24,533795;20,099191;20,333137;20,550974;19,310208;19,533811;25,764606;26,052829;25,73861;25,542573;26,241503;28,857317;29,381791;29,344821;29,712812;29,67335;-1;-1;-1;-1;209,069084;14,303579;15,739032;15,407749;15,098004;15,591195; 
14,927351;16,654997;19,060651;16,821447;18,777452;26,846941;26,101684;27,702921;27,797403;28,194678;16,262527;16,890854;16,712159;17,307894;17,907918;23,781725;23,993342;28,258131;29,359091;28,8545;26,103629;26,17623;26,568416;26,065924;26,49212;-1;-1;-1;-1;210,594518;13,821904;13,795169;14,836744;14,052282;15,014392; 
19,659732;19,313333;17,594875;19,259352;17,974014;28,009801;28,123507;28,378988;27,673614;27,720675;18,505918;18,076357;18,56709;17,16997;17,817774;29,298811;28,974902;25,291483;24,868808;24,742066;29,285971;29,948862;30,645832;29,8002;30,459004;-1;-1;-1;-1;210,457449;13,100409;14,216639;14,346077;13,938331;14,236158; 
19,765216;19,593631;26,658743;19,062171;22,710892;32,678047;33,472122;30,543494;38,032206;27,162489;24,754911;22,262464;23,445912;28,051597;17,95642;26,523633;26,166366;26,404233;38,696053;34,461243;28,630097;31,771922;35,196908;30,104232;41,612533;-1;-1;-1;-1;220,431308;29,871914;25,484885;15,538392;16,417036;15,865695; 
21,423427;23,066202;24,275136;30,443596;28,984997;32,53266;39,469525;32,362741;31,020504;35,027457;36,110072;28,940116;30,578258;26,109226;36,263808;43,982658;35,415708;44,919197;34,874689;36,361687;44,582432;38,122676;34,481737;39,634785;32,438923;-1;-1;-1;-1;234,689952;26,731648;28,440065;16,469558;20,900814;39,298797; 
18,232151;18,024412;19,063199;19,20299;19,732082;29,161376;25,565004;29,523774;28,041872;27,805815;21,506655;22,3446;21,676943;21,421138;22,166905;26,704639;28,290944;26,599489;30,350892;26,306916;30,263533;30,524135;30,630608;30,732747;29,907174;-1;-1;-1;-1;229,004878;17,850149;18,234676;26,300597;26,353456;22,344348; 
20,31612;19,492622;22,733222;21,418232;20,759539;36,739398;40,769898;36,925074;43,074923;27,536956;24,314375;22,634568;23,551594;23,769035;22,046537;31,749229;31,902579;32,814582;30,025462;34,061355;29,339372;29,485369;31,815012;30,783724;31,870191;-1;-1;-1;-1;231,278488;18,992954;30,03899;22,176434;18,825596;19,21346; 
19,146541;19,809069;23,437352;18,07458;24,506265;30,324419;26,463249;29,989461;27,43605;39,253083;19,577803;19,670046;28,698484;20,289474;24,31427;28,866491;30,711201;27,552018;26,008621;27,501177;33,045216;31,385839;30,344707;31,951118;30,001814;-1;-1;-1;-1;209,853119;15,078918;15,928536;17,378177;14,563481;16,575939; 
25,06226;23,195627;14,691549;23,386293;23,149867;23,303321;23,588231;23,903759;22,726831;26,603517;16,352125;19,245348;16,161912;16,611122;19,210168;23,331016;24,639371;22,702896;22,886878;22,826652;30,903734;30,877668;29,784036;30,833607;29,505183;-1;-1;-1;-1;221,366011;14,699471;15,906565;14,613851;16,31077;14,809883; 
21,272274;22,089591;25,864547;18,269894;23,807011;29,104778;40,908691;32,935983;32,21083;26,908855;39,963851;21,522555;30,776871;24,841776;19,979184;28,278881;28,07326;28,767115;38,218563;31,181745;31,066848;33,692901;36,663096;34,993108;39,110775;-1;-1;-1;-1;233,029671;28,811773;23,985556;20,684577;20,725706;25,807248; 
20,673203;20,244717;16,086119;22,78694;17,337549;32,679141;24,797608;32,263396;31,065724;34,993317;18,373484;28,26405;21,587657;27,184104;27,628528;35,209285;39,569778;34,331858;28,260339;32,771986;34,901574;32,422232;31,946877;31,864229;30,479243;-1;-1;-1;-1;213,781154;15,308832;15,404518;19,656363;20,064549;19,118902; 
16,899001;18,800019;17,956833;16,062186;16,923567;23,953778;30,743814;23,828624;23,241652;25,704447;18,1642;18,438385;15,870996;14,740552;18,824893;20,365701;21,937896;20,630116;21,576029;20,572735;25,394664;24,126094;22,323061;24,65405;23,580152;-1;-1;-1;-1;204,360281;18,074508;17,329535;21,06071;15,647247;14,909482; 
18,001171;18,870457;19,157395;18,636434;20,596861;30,499985;22,751106;29,632988;30,044331;29,333919;19,62526;19,224373;19,496419;20,008039;19,447313;23,429343;22,330327;23,919683;24,039581;25,008546;23,591215;23,760078;24,707451;24,737651;25,750741;-1;-1;-1;-1;206,724294;17,500656;16,98464;16,676228;16,859713;18,586961; 
16,326227;15,856407;19,315554;17,344553;19,674109;23,241681;21,674433;21,879134;21,794604;22,995871;15,923207;18,220555;16,226548;16,82112;18,236117;21,574674;21,387615;21,625502;23,310525;22,376489;27,147374;27,627241;28,881402;27,040159;28,442638;-1;-1;-1;-1;195,886043;14,029438;14,42231;15,884646;18,792032;16,311916; 
22,227067;21,611547;20,539457;20,528289;20,159558;22,456853;25,330281;22,192772;22,93783;22,100247;17,838401;16,463256;16,406227;16,546849;16,903035;24,858268;24,383982;28,205184;27,810835;28,03682;25,526069;25,687328;24,052773;24,428499;23,451921;-1;-1;-1;-1;225,027292;14,257167;16,626637;16,160452;15,251903;14,482691; 
19,976406;20,415427;18,615357;20,014121;18,797846;24,424213;27,842405;25,670965;25,184934;23,852448;19,194716;17,6965;18,803826;18,55811;17,675609;27,001677;27,26058;22,72489;21,586209;22,023031;24,243455;24,520732;25,112932;25,203903;25,841998;-1;-1;-1;-1;220,690294;15,747226;14,977389;14,450212;14,554749;14,836082; 
17,341189;17,294355;16,716632;17,604195;15,927626;25,620985;24,315548;26,284178;24,485627;24,908974;17,042576;18,925347;18,503283;18,615326;18,052616;23,790727;23,589829;24,370173;23,198256;23,831747;28,914864;29,902895;29,739508;29,829323;27,396328;-1;-1;-1;-1;208,29329;13,950994;13,856578;14,215536;15,215016;15,867797; 
17,768582;18,083768;17,7625;17,528349;17,082324;25,581675;25,026655;23,607293;24,346752;23,947235;19,650188;16,906867;18,261945;16,209329;17,602158;21,183949;21,656511;21,002804;20,961265;21,559017;24,779021;23,276561;23,412024;22,934257;23,06343;-1;-1;-1;-1;200,015952;15,368839;14,995018;16,314696;14,236731;13,479901; 
18,035455;17,311813;20,973111;18,584914;21,534866;24,386959;27,909515;25,747167;26,344286;26,6766;18,305078;19,984912;17,6785;20,334487;20,443656;23,153244;23,208843;23,396666;29,713666;25,347297;24,561027;27,622473;27,429798;27,604361;27,01974;-1;-1;-1;-1;210,909779;16,98662;19,102889;14,709222;16,124341;16,256977; 
18,693075;19,961792;22,716216;20,657218;22,478381;29,260179;28,180343;31,196168;29,602985;30,896532;24,466204;20,106458;26,314219;23,026316;23,430147;31,498882;30,802119;31,959842;29,68219;33,711874;31,007897;28,978322;29,996724;29,568892;30,994468;-1;-1;-1;-1;204,271363;19,555235;19,828087;18,161037;19,646091;21,39911; 
17,834984;18,49687;17,533303;17,7538;17,36592;24,158758;22,475594;25,913271;25,13877;24,710054;17,070237;20,77817;19,416771;20,527132;21,500887;27,183167;27,382892;26,081054;22,980738;24,423166;28,747494;28,324058;26,558854;27,709918;25,456603;-1;-1;-1;-1;204,115073;14,562034;13,862852;16,265332;18,142275;16,600275; 
21,503273;20,895365;16,128874;20,791931;14,950833;22,472133;21,165388;21,760082;20,827102;23,817451;16,757019;17,414638;15,883402;15,776787;16,303636;21,494813;21,689235;21,780816;20,840769;21,45131;28,438838;27,653042;27,038447;27,52255;26,351644;-1;-1;-1;-1;214,421183;16,165609;16,020314;18,835376;13,931615;15,948729; 
17,460319;17,539154;18,614264;16,881299;19,341138;21,62796;26,721304;21,870274;23,02532;21,523264;20,205588;17,03871;20,662159;17,90943;17,532978;21,391135;21,272959;21,060036;22,720953;20,930876;22,164575;22,330327;22,505169;22,832173;23,986903;-1;-1;-1;-1;205,015718;15,316006;16,378521;15,939297;16,016785;12,379068; 
17,601152;17,297196;18,329962;17,486048;19,075924;26,855165;25,546935;27,315923;27,880589;26,337703;17,529582;19,847303;17,139052;19,32621;19,812509;26,014022;22,328478;25,887929;26,836918;26,832151;23,33708;23,638934;22,522735;22,721466;21,679868;-1;-1;-1;-1;197,698182;13,191916;14,457581;13,189395;15,304171;16,124572; 
17,96685;17,936692;27,732805;17,956398;25,314206;24,325849;21,508463;25,233569;24,000888;24,570572;21,743873;17,870602;22,146792;18,299162;17,746587;23,797259;26,875341;24,086451;23,451892;24,697641;24,416275;25,132629;25,31002;25,304868;25,310657;-1;-1;-1;-1;214,480593;16,515965;26,097823;15,404018;14,608563;17,457503; 
27,227346;23,179768;21,950955;28,458779;21,31538;25,165798;35,033465;32,289044;33,919797;24,818986;34,065637;27,468866;28,971596;27,401047;36,360343;28,181363;29,456631;26,892633;33,11426;31,618027;25,730025;29,777247;29,64168;28,009515;35,851264;-1;-1;-1;-1;209,896862;21,800519;20,87608;20,131839;19,634188;30,088288; 
21,728855;22,159025;24,331137;18,893662;23,185005;33,604542;26,333755;26,567449;25,801713;34,836769;19,142016;21,601815;21,953447;21,528873;21,079528;33,510614;34,97843;34,37905;31,230986;34,979244;35,693729;36,010492;36,166637;32,788435;33,753521;-1;-1;-1;-1;210,584151;20,198754;17,411223;31,57123;24,175793;19,487943; 
30,488426;19,746338;17,156891;22,216288;17,198744;26,322575;27,527572;28,295893;25,216273;27,0558;17,70399;21,202671;16,115311;19,94505;19,111204;26,458929;26,035512;25,415026;26,073237;26,597191;30,150054;26,848178;24,408548;29,1546;22,432326;-1;-1;-1;-1;211,728676;15,072027;13,897144;20,602194;18,54007;15,122849; 
17,122833;22,596653;19,55017;17,247648;21,666263;27,450125;26,037327;29,627396;32,953321;26,674817;16,856475;16,448473;18,524306;17,983966;18,532938;26,232162;25,971974;26,215951;21,049199;21,066693;21,173664;21,408014;21,369671;21,252726;22,429552;-1;-1;-1;-1;211,215208;13,809309;15,596261;14,458369;14,440859;15,283232; 
